source_id,ten_mon,meal_type,ten_file_anh_can,da_co_anh
02_trua_eat_clean_05,Bún gạo lứt ức gà rau củ,lunch,02_trua_eat_clean_05.jpg,
02_trua_eat_clean_06,Thịt bò xào ớt chuông cơm gạo lứt,lunch,02_trua_eat_clean_06.jpg,
02_trua_eat_clean_07,Cá basa phi lê áp chảo cơm gạo lứt rau,lunch,02_trua_eat_clean_07.jpg,
02_trua_eat_clean_08,Thịt heo nạc rim nhạt cơm gạo lứt rau xào,lunch,02_trua_eat_clean_08.jpg,
02_trua_eat_clean_09,Salad diêm mạch rau củ bông cải,lunch,02_trua_eat_clean_09.jpg,
02_trua_eat_clean_10,Đậu hũ non sốt cà chua thịt băm cơm,lunch,02_trua_eat_clean_10.jpg,
02_trua_eat_clean_11,Ức gà sốt cam tỏi cơm gạo lứt,lunch,02_trua_eat_clean_11.jpg,
02_trua_eat_clean_12,Ức gà áp chảo salad trứng luộc,lunch,02_trua_eat_clean_12.jpg,
03_toi_eat_clean_01,Cá hồi áp chảo salad súp lơ xanh gạo lứt,dinner,03_toi_eat_clean_01.jpg,
03_toi_eat_clean_02,Ức gà xào nấm rau củ (xào bằng nước),dinner,03_toi_eat_clean_02.jpg,
03_toi_eat_clean_03,Súp bí đỏ ức gà,dinner,03_toi_eat_clean_03.jpg,
03_toi_eat_clean_04,Cá basa nướng cơm đậu gà bông cải,dinner,03_toi_eat_clean_04.jpg,
03_toi_eat_clean_05,Ức gà cuộn nấm kim châm nướng giấy bạc,dinner,03_toi_eat_clean_05.jpg,
03_toi_eat_clean_06,Cá thu sốt cà chua cơm gạo lứt rau,dinner,03_toi_eat_clean_06.jpg,
03_toi_eat_clean_07,Thịt heo nạc salad rau củ xé sợi,dinner,03_toi_eat_clean_07.jpg,
03_toi_eat_clean_08,Bò xào măng tây nấm cơm gạo lứt,dinner,03_toi_eat_clean_08.jpg,
03_toi_eat_clean_09,Nui xào bò bắp cải xanh,dinner,03_toi_eat_clean_09.jpg,
03_toi_eat_clean_10,Ức gà áp chảo rau bina bơ trứng ốp la,dinner,03_toi_eat_clean_10.jpg,
03_toi_eat_clean_11,Tôm hấp rau củ hấp bánh tráng lứt,dinner,03_toi_eat_clean_11.jpg,
03_toi_eat_clean_12,Canh gà nấu bí đao hạt sen,dinner,03_toi_eat_clean_12.jpg,
04_snack_eat_clean_01,Sữa chua Hy Lạp granola trái cây,snack,04_snack_eat_clean_01.jpg,
04_snack_eat_clean_02,2 quả trứng luộc,snack,04_snack_eat_clean_02.jpg,
04_snack_eat_clean_03,Sinh tố cần tây táo dưa leo,snack,04_snack_eat_clean_03.jpg,
04_snack_eat_clean_04,Khoai lang luộc,snack,04_snack_eat_clean_04.jpg,
04_snack_eat_clean_05,"Hạt mix rang khô (hạnh nhân, bí, hướng dương)",snack,04_snack_eat_clean_05.jpg,
04_snack_eat_clean_06,Trái cây tươi theo mùa,snack,04_snack_eat_clean_06.jpg,
04_snack_eat_clean_07,Chuối chín,snack,04_snack_eat_clean_07.jpg,
04_snack_eat_clean_08,Bơ tươi ½ quả,snack,04_snack_eat_clean_08.jpg,
04_snack_eat_clean_09,Chè đậu xanh nha đam long nhãn,snack,04_snack_eat_clean_09.jpg,
04_snack_eat_clean_10,Nước ép táo cần tây gừng,snack,04_snack_eat_clean_10.jpg,
04_snack_eat_clean_11,Đậu hũ lắc muối ớt,snack,04_snack_eat_clean_11.jpg,
04_snack_eat_clean_12,Sữa hạt ngũ cốc không đường,snack,04_snack_eat_clean_12.jpg,
06_trua_chay_01,Cơm gạo lứt đậu hũ sốt cà chua nấm,lunch,06_trua_chay_01.jpg,
06_trua_chay_02,Bún lứt chay nấm bào ngư đậu hũ rau sống,lunch,06_trua_chay_02.jpg,
06_trua_chay_03,Salad đậu gà rau xanh sốt chanh dầu olive,lunch,06_trua_chay_03.jpg,
06_trua_chay_04,Cơm gạo lứt cà tím rim dừa nấm xào,lunch,06_trua_chay_04.jpg,
06_trua_chay_05,Phở chay nấm đùi gà đậu hũ non,lunch,06_trua_chay_05.jpg,
06_trua_chay_06,Cơm chiên ngũ sắc gạo lứt rau củ,lunch,06_trua_chay_06.jpg,
06_trua_chay_07,Đậu hũ kho sả cơm gạo lứt rau luộc,lunch,06_trua_chay_07.jpg,
06_trua_chay_08,Canh chua chay cà chua đậu bắp nấm,lunch,06_trua_chay_08.jpg,
06_trua_chay_09,Quinoa xào rau củ đậu hũ,lunch,06_trua_chay_09.jpg,
06_trua_chay_10,Mít non kho tiêu cơm gạo lứt,lunch,06_trua_chay_10.jpg,
06_trua_chay_11,Miến xào chay cà rốt mộc nhĩ bắp cải,lunch,06_trua_chay_11.jpg,
06_trua_chay_12,Bánh tráng cuốn chay nấm rau sống,lunch,06_trua_chay_12.jpg,
07_toi_chay_01,Đậu hũ non hấp sốt mè rang,dinner,07_toi_chay_01.jpg,
07_toi_chay_02,Cơm gạo lứt đậu hũ non sốt cà chua rau muống xào,dinner,07_toi_chay_02.jpg,
07_toi_chay_03,Súp bí ngô bạch quả hạt sen,dinner,07_toi_chay_03.jpg,
07_toi_chay_04,Nấm đùi gà sốt tương Hàn Quốc cơm gạo lứt,dinner,07_toi_chay_04.jpg,
07_toi_chay_05,Canh xà lách xoong nấm đông cô,dinner,07_toi_chay_05.jpg,
07_toi_chay_06,Cà tím nướng sốt miso chay cơm gạo lứt,dinner,07_toi_chay_06.jpg,
07_toi_chay_07,Bún gạo lứt chay xào thập cẩm,dinner,07_toi_chay_07.jpg,
07_toi_chay_08,Đậu lăng hầm rau củ cơm gạo lứt,dinner,07_toi_chay_08.jpg,
07_toi_chay_09,Salad đậu gà bơ cà chua bi rau xanh,dinner,07_toi_chay_09.jpg,
07_toi_chay_10,Rau củ áp chảo gạo lứt sốt mè,dinner,07_toi_chay_10.jpg,
07_toi_chay_11,Canh rong biển đậu hũ non gừng,dinner,07_toi_chay_11.jpg,
07_toi_chay_12,Khoai tây nghiền nấm sốt hành tây,dinner,07_toi_chay_12.jpg,
08_snack_chay_01,Sữa đậu nành không đường tự làm,snack,08_snack_chay_01.jpg,
08_snack_chay_02,Trái cây tươi theo mùa + muối ớt,snack,08_snack_chay_02.jpg,
08_snack_chay_03,Hạt dẻ cười rang khô,snack,08_snack_chay_03.jpg,
08_snack_chay_04,Khoai lang nước,snack,08_snack_chay_04.jpg,
08_snack_chay_05,Sữa chua không đường trái cây,snack,08_snack_chay_05.jpg,
08_snack_chay_06,Nước ép cần tây dứa dưa leo,snack,08_snack_chay_06.jpg,
08_snack_chay_07,Xôi đậu xanh muối mè,snack,08_snack_chay_07.jpg,
08_snack_chay_08,Smoothie rau bina chuối táo gừng,snack,08_snack_chay_08.jpg,
08_snack_chay_09,Đậu bắp hấp mỡ hành chay,snack,08_snack_chay_09.jpg,
08_snack_chay_10,Chè đậu đỏ hạt sen ít đường,snack,08_snack_chay_10.jpg,
08_snack_chay_11,Bơ tươi + bánh gạo lứt,snack,08_snack_chay_11.jpg,
08_snack_chay_12,Salad rau mầm đậu hũ chiên giòn nồi chiên,snack,08_snack_chay_12.jpg,
09_trua_giau_dam_01,Ức gà nướng mật ong tỏi cơm gạo lứt bông cải,lunch,09_trua_giau_dam_01.jpg,
09_trua_giau_dam_02,Cá hồi áp chảo sốt chanh dây măng tây,lunch,09_trua_giau_dam_02.jpg,
09_trua_giau_dam_03,Thịt bò xào đậu cô ve cơm gạo lứt,lunch,09_trua_giau_dam_03.jpg,
09_trua_giau_dam_04,Salad tôm trứng luộc sốt bơ ngò,lunch,09_trua_giau_dam_04.jpg,
09_trua_giau_dam_05,Ức gà xào ớt chuông cơm gạo lứt bí ngòi,lunch,09_trua_giau_dam_05.jpg,
09_trua_giau_dam_06,Cá thu áp chảo khoai lang luộc rau củ,lunch,09_trua_giau_dam_06.jpg,
09_trua_giau_dam_07,Bò cuộn măng tây cơm gạo lứt salad,lunch,09_trua_giau_dam_07.jpg,
09_trua_giau_dam_08,Trứng cuộn rau củ cơm gạo lứt bông cải,lunch,09_trua_giau_dam_08.jpg,
09_trua_giau_dam_09,Salad ức gà sốt sữa chua mật ong khoai lang,lunch,09_trua_giau_dam_09.jpg,
09_trua_giau_dam_10,Mực xào ớt chuông cơm gạo lứt cải cầu vồng,lunch,09_trua_giau_dam_10.jpg,
09_trua_giau_dam_11,Đậu hũ non sốt thịt bằm cơm gạo lứt,lunch,09_trua_giau_dam_11.jpg,
09_trua_giau_dam_12,Cá ngừ mayo salad khoai lang ngô luộc,lunch,09_trua_giau_dam_12.jpg,
10_toi_giau_dam_01,Cá hồi nướng giấy bạc măng tây cơm gạo lứt,dinner,10_toi_giau_dam_01.jpg,
10_toi_giau_dam_02,Ức gà áp chảo sốt chanh dây mật ong bông cải,dinner,10_toi_giau_dam_02.jpg,
10_toi_giau_dam_03,Thịt bò xào bông cải xanh nấm cơm gạo lứt,dinner,10_toi_giau_dam_03.jpg,
10_toi_giau_dam_04,Cá hồi mì Ý nguyên cám rau củ nướng,dinner,10_toi_giau_dam_04.jpg,
10_toi_giau_dam_05,Tôm hấp sả cơm gạo lứt rau củ luộc,dinner,10_toi_giau_dam_05.jpg,
10_toi_giau_dam_06,Ức gà hấp cải bó xôi bơ tươi,dinner,10_toi_giau_dam_06.jpg,
10_toi_giau_dam_07,Heo sườn non áp chảo rau củ nướng,dinner,10_toi_giau_dam_07.jpg,
10_toi_giau_dam_08,Đậu phụ nướng rau củ hấp quinoa,dinner,10_toi_giau_dam_08.jpg,
10_toi_giau_dam_09,Cá basa hấp cơm gạo lứt rau củ luộc,dinner,10_toi_giau_dam_09.jpg,
10_toi_giau_dam_10,Gà xé súp bí đỏ rau muống luộc,dinner,10_toi_giau_dam_10.jpg,
10_toi_giau_dam_11,Ớt chuông nhồi thịt bò nướng cơm gạo lứt,dinner,10_toi_giau_dam_11.jpg,
10_toi_giau_dam_12,Trứng hấp thịt băm nấm cơm gạo lứt,dinner,10_toi_giau_dam_12.jpg,
11_snack_giau_dam_01,Sữa chua Hy Lạp không đường + hạt chia,snack,11_snack_giau_dam_01.jpg,
11_snack_giau_dam_02,3 quả trứng luộc,snack,11_snack_giau_dam_02.jpg,
11_snack_giau_dam_03,Cá ngừ hộp rau sống bánh gạo lứt,snack,11_snack_giau_dam_03.jpg,
11_snack_giau_dam_04,Phô mai tươi ít béo + bánh mì nguyên cám,snack,11_snack_giau_dam_04.jpg,
11_snack_giau_dam_05,Edamame luộc muối biển,snack,11_snack_giau_dam_05.jpg,
11_snack_giau_dam_06,Smoothie whey chuối sữa hạt,snack,11_snack_giau_dam_06.jpg,
11_snack_giau_dam_07,Đậu hũ áp chảo sốt nước tương mè,snack,11_snack_giau_dam_07.jpg,
11_snack_giau_dam_08,Ức gà xé trộn rau sống,snack,11_snack_giau_dam_08.jpg,
11_snack_giau_dam_09,Hạt hạnh nhân + bơ đậu phộng tự nhiên,snack,11_snack_giau_dam_09.jpg,
11_snack_giau_dam_10,Sữa tươi ít béo + 1 quả táo,snack,11_snack_giau_dam_10.jpg,
11_snack_giau_dam_11,Tôm tươi luộc chấm muối chanh,snack,11_snack_giau_dam_11.jpg,
11_snack_giau_dam_12,Bánh gạo lứt phết bơ đậu phộng chuối,snack,11_snack_giau_dam_12.jpg,
12_trua_low_carb_01,Ức gà nướng salad rau xanh sốt dầu olive chanh,lunch,12_trua_low_carb_01.jpg,
12_trua_low_carb_02,Cá phi lê nướng rau củ luộc không tinh bột,lunch,12_trua_low_carb_02.jpg,
12_trua_low_carb_03,Salad tôm trứng rau diếp cá cà chua,lunch,12_trua_low_carb_03.jpg,
12_trua_low_carb_04,Thịt bò xào bông cải xanh không cơm,lunch,12_trua_low_carb_04.jpg,
12_trua_low_carb_05,Ức gà đùi gà kho tiêu rau muống xào,lunch,12_trua_low_carb_05.jpg,
12_trua_low_carb_06,Canh rau cải nấu thịt heo nạc ít tinh bột,lunch,12_trua_low_carb_06.jpg,
12_trua_low_carb_07,Salad bơ thịt bò áp chảo sốt giấm táo,lunch,12_trua_low_carb_07.jpg,
12_trua_low_carb_08,Mực hấp rau củ luộc không tinh bột,lunch,12_trua_low_carb_08.jpg,
12_trua_low_carb_09,Bắp cải nhồi thịt heo nạc hấp,lunch,12_trua_low_carb_09.jpg,
12_trua_low_carb_10,Ức gà đậu ve xào không cơm,lunch,12_trua_low_carb_10.jpg,
12_trua_low_carb_11,Súp rau củ thịt bò không tinh bột,lunch,12_trua_low_carb_11.jpg,
12_trua_low_carb_12,Salad cá ngừ rau diếp trứng không tinh bột,lunch,12_trua_low_carb_12.jpg,
13_toi_low_carb_01,Cá hồi nướng măng tây súp lơ không tinh bột,dinner,13_toi_low_carb_01.jpg,
13_toi_low_carb_02,Ức gà áp chảo salad cà chua bi không cơm,dinner,13_toi_low_carb_02.jpg,
13_toi_low_carb_03,Thịt bò nướng bông cải xanh xào tỏi,dinner,13_toi_low_carb_03.jpg,
13_toi_low_carb_04,Ức gà chiên không bột bí đỏ nướng,dinner,13_toi_low_carb_04.jpg,
13_toi_low_carb_05,Cá hồi bơ tỏi nướng giấy bạc súp lơ,dinner,13_toi_low_carb_05.jpg,
13_toi_low_carb_06,Thịt bò hầm bông cải không tinh bột,dinner,13_toi_low_carb_06.jpg,
13_toi_low_carb_07,Tôm xào bông cải sup rau củ không tinh bột,dinner,13_toi_low_carb_07.jpg,
13_toi_low_carb_08,Trứng tráng nấm bào ngư rau bina,dinner,13_toi_low_carb_08.jpg,
13_toi_low_carb_09,Gà nướng cải bó xôi quinoa,dinner,13_toi_low_carb_09.jpg,
13_toi_low_carb_10,Cá basa hấp gừng rau củ luộc không cơm,dinner,13_toi_low_carb_10.jpg,
13_toi_low_carb_11,Thịt heo nạc luộc bắp cải trộn dầu giấm,dinner,13_toi_low_carb_11.jpg,
13_toi_low_carb_12,Ốc bao tử xào sả ớt rau muống luộc,dinner,13_toi_low_carb_12.jpg,
14_snack_low_carb_01,Bơ tươi ½ quả muối biển tiêu,snack,14_snack_low_carb_01.jpg,
14_snack_low_carb_02,Trứng luộc 2 quả cà chua tươi,snack,14_snack_low_carb_02.jpg,
14_snack_low_carb_03,Phô mai con bò cười ít béo,snack,14_snack_low_carb_03.jpg,
14_snack_low_carb_04,Sữa chua Hy Lạp không đường việt quất hạnh nhân,snack,14_snack_low_carb_04.jpg,
14_snack_low_carb_05,Dưa leo cần tây tươi chấm hummus,snack,14_snack_low_carb_05.jpg,
14_snack_low_carb_06,Hạt hạnh nhân rang khô không muối,snack,14_snack_low_carb_06.jpg,
14_snack_low_carb_07,Rau quả mọng ít đường việt quất dâu tây,snack,14_snack_low_carb_07.jpg,
14_snack_low_carb_08,Ức gà xé rau diếp cuộn,snack,14_snack_low_carb_08.jpg,
14_snack_low_carb_09,Sữa tươi không đường bơ đậu phộng tự nhiên,snack,14_snack_low_carb_09.jpg,
14_snack_low_carb_10,Súp trứng rau củ không tinh bột,snack,14_snack_low_carb_10.jpg,
14_snack_low_carb_11,Cần tây ớt chuông thái lát bơ,snack,14_snack_low_carb_11.jpg,
14_snack_low_carb_12,Nước ép cần tây gừng chanh không đường,snack,14_snack_low_carb_12.jpg,
